         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
428705/377041    0.157    0.000    0.375    0.000 {built-in method builtins.isinstance}
    59997    0.144    0.000    0.827    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\tokenization_t5.py:404(_convert_id_to_token)
    50342    0.144    0.000    0.347    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:2731(children)
    39925    0.141    0.000    0.568    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\tokenization_utils.py:732(_convert_token_to_id_with_added_voc)
     8624    0.139    0.000   35.056    0.004 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\linear.py:124(forward)
        1    0.123    0.123    0.154    0.154 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1(<module>)
        2    0.121    0.060    1.220    0.610 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\tokenization_t5.py:245(get_vocab)
  344/256    0.118    0.000    0.119    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:436(_get_literal_prefix)
      624    0.112    0.000    0.689    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\tokenization_utils.py:710(convert_tokens_to_ids)
     5152    0.110    0.000    0.182    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\functional.py:1401(dropout)
     1232    0.110    0.000   60.585    0.049 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\modeling_t5.py:666(forward)
    23184    0.106    0.000    0.106    0.000 {built-in method torch._C._get_tracing_state}
      113    0.103    0.001    0.103    0.001 {built-in method nt.remove}
    59997    0.100    0.000    0.184    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sentencepiece\__init__.py:924(piece_size)
    25783    0.098    0.000    0.109    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\parameter.py:10(__instancecheck__)
    25472    0.093    0.000    0.104    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\parameter.py:216(__instancecheck__)
     6496    0.092    0.000    0.128    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:845(save_str)
     1484    0.091    0.000    0.091    0.000 {built-in method nt._getfinalpathname}
      112    0.088    0.001    0.095    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sacrebleu\metrics\chrf.py:131(_remove_punctuation)
    39401    0.088    0.000    0.426    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\tokenization_t5.py:400(_convert_token_to_id)
