         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      406    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      121    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:935(__eq__)
       18    0.000    0.000    0.017    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\poolmanager.py:276(connection_from_host)
        2    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:996(parse_template)
       24    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:855(quote)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\axes_grid.py:27(Grid)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\xml\constants.py:1(<module>)
      112    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\arrow_dataset.py:158(__init__)
      231    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      103    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:917(compute_should_use_set_data)
       19    0.000    0.000    0.010    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\utils.py:114(proxy_bypass)
       72    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\message.py:29(_splitparam)
       56    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sacrebleu\utils.py:268(sum_of_lists)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:211(is_time64)
       18    0.000    0.000    0.003    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\models.py:85(path_url)
        1    0.000    0.000    0.001    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\multiprocessing\synchronize.py:1(<module>)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:136(is_float64)
      140    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py:17(__init__)
      806    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:295(isclass)
      448    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        4    0.000    0.000   14.674    3.668 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\loading.py:689(load)
       69    0.000    0.000    0.000    0.000 <frozen _collections_abc>:823(items)
        8    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:376(_flatten_code)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:111(is_uint32)
       24    0.000    0.000    0.008    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\tarfile.py:1848(taropen)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:101(is_uint8)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:91(is_int32)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:116(is_uint64)
        4    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\gettext.py:479(find)
        1    0.000    0.000    0.011    0.011 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\fill.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\sem\logic.py:946(Expression)
        1    0.000    0.000    0.002    0.002 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tokenize\treebank.py:29(TreebankWordTokenizer)
        1    0.000    0.000    0.220    0.220 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\writer\excel.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\text.py:313(Text)
        1    0.000    0.000    0.005    0.005 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\chart\axis.py:1(<module>)
      115    0.000    0.000    0.002    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:1454(<genexpr>)
     19/5    0.000    0.000    0.003    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:3406(optimise)
       56    0.000    0.000    0.002    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\cookies.py:35(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\weakref.py:568(__init__)
       26    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\indexing.py:1574(_validate_key)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\collections.py:1(<module>)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:106(is_uint16)
        1    0.000    0.000    0.033    0.033 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\axes_grid.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\formatting\rule.py:1(<module>)
       89    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:234(_acquireLock)
       24    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:931(quote_from_bytes)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pyarrow\types.py:126(is_float16)
      114    0.000    0.000    0.000    0.000 {built-in method math.log}
      112    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\arrow_writer.py:513(write_rows_on_file)
       82    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\connection.py:163(host)
        1    0.000    0.000    0.004    0.004 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\metrics\association.py:1(<module>)
       36    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\header_footer.py:93(__init__)
       18    0.000    0.000    0.028    0.002 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\http\client.py:231(_parse_header_lines)
       18    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\_compression.py:66(readinto)
       37    0.000    0.000    0.010    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:740(Optional)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\parse\nonprojectivedependencyparser.py:1(<module>)
       18    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\socket.py:681(__init__)
      133    0.000    0.000    0.002    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\sequence.py:27(<genexpr>)
       50    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:2476(overload)
        5    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:760(_get_field)
        1    0.000    0.000    0.054    0.054 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\packaging\manifest.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\views.py:54(SheetView)
      168    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\queue.py:254(_get)
       14    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\response.py:807(_fp_read)
     16/5    0.000    0.000    0.038    0.008 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:417(_parse_pattern)
       70    0.000    0.000    0.005    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\utils\indexed_list.py:42(append)
        9    0.000    0.000    0.011    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\internals.py:407(decorator)
       18    0.000    0.000    0.005    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\models.py:816(generate)
        1    0.000    0.000    0.001    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:2854(__new__)
       87    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\_internal_utils.py:25(to_native_string)
       15    0.000    0.000    0.003    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\connection.py:320(close)
       56    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sacrebleu\metrics\base.py:26(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\conll.py:1(<module>)
       18    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py:509(urlunparse)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\sem\linearlogic.py:1(<module>)
        1    0.000    0.000    0.010    0.010 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\xml\functions.py:1(<module>)
      111    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1064(_output)
       15    0.000    0.000    0.003    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\huggingface_hub\utils\_auth.py:121(_get_token_from_file)
      113    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\distributed\distributed_c10d.py:1269(is_initialized)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\styles\stylesheet.py:39(Stylesheet)
        6    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py:281(_EndRecData)
        1    0.000    0.000    3.198    3.198 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tokenize\casual.py:1(<module>)
       26    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\indexes\base.py:5373(__getitem__)
      168    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\packaging\version.py:247(<genexpr>)
      178    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\queue.py:251(_put)
       61    0.000    0.000    0.009    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\ipipan.py:25(IPIPANCorpusReader)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\colors.py:233(SchemeColor)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\gpt2\tokenization_gpt2.py:75(GPT2Tokenizer)
       39    0.000    0.000    0.006    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\styles\styleable.py:22(__set__)
      183    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\matplotlib\artist.py:1557(<genexpr>)
        1    0.000    0.000    0.020    0.020 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\packaging\workbook.py:1(<module>)
        1    0.000    0.000    0.021    0.021 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\modeling_t5.py:2113(T5ForSequenceClassification)
        1    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:361(_flatten_literal_params)
       56    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:824(removeFilter)
       19    0.000    0.000    0.006    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\models.py:890(content)
       50    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\base.py:249(__set__)
       28    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\_collections.py:141(clear)
     1596    0.000    0.000    0.000    0.000 {method 'isnumeric' of 'str' objects}
      564    0.000    0.000    0.000    0.000 {method 'get_dtype' of 'builtins.PySafeSlice' objects}
        1    0.000    0.000    0.007    0.007 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\propbank.py:1(<module>)
        1    0.000    0.000    0.059    0.059 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\collocations.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\inference\api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\mpl_toolkits\axes_grid1\axes_divider.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\stem\porter.py:28(PorterStemmer)
      100    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py:1143(__iter__)
       11    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:2513(_compile)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\probability.py:57(FreqDist)
      112    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\module.py:100(experiment_id)
      128    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\util\retry.py:242(<genexpr>)
       13    0.000    0.000    0.004    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\frame.py:3983(_ixs)
       18    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:100(push)
      564    0.000    0.000    0.000    0.000 {method 'get_shape' of 'builtins.PySafeSlice' objects}
      117    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\utils\import_utils.py:340(is_torch_available)
       13    0.000    0.000    0.008    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\indexing.py:1689(_getitem_tuple)
        2    0.000    0.000    0.004    0.002 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\worksheet.py:109(_setup)
       18    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:195(_new_message)
      112    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\module.py:454(<genexpr>)
        9    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_helpers.py:114(get_calling_module_object_and_name)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\onnx\config.py:443(OnnxConfigWithPast)
       55    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\base.py:101(__init__)
       63    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:304(checkgroupname)
       18    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\urllib3\util\request.py:191(body_to_chunks)
      112    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\fsspec\implementations\local.py:425(writable)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\metrics\distance.py:1(<module>)
       11    0.000    0.000    0.003    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\tqdm\std.py:90(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
        1    0.000    0.000    0.001    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\xml\sax\saxutils.py:1(<module>)
       22    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\huggingface_hub\utils\_validators.py:119(validate_repo_id)
        1    0.000    0.000    0.070    0.070 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\_writer.py:120(write_rows)
       16    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\utils\file_utils.py:118(hash_url_to_filename)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\mte.py:34(MTEFileReader)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\fill.py:264(Blip)
       13    0.000    0.000    0.740    0.057 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\utils\hub.py:208(cached_file)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\classify\util.py:1(<module>)
      100    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\tokenization_utils_base.py:3942(_eventual_warn_about_too_long_sequence)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\draw\tree.py:30(TreeSegmentWidget)
        9    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py:387(__init__)
       36    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\message.py:150(__init__)
      235    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\packaging\extended.py:31(ExtendedProperties)
        9    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_flag.py:92(__init__)
      106    0.000    0.000    0.000    0.000 <frozen _collections_abc>:845(__init__)
      112    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\table.py:1022(__getstate__)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\roberta\tokenization_roberta.py:1(<module>)
       12    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\_compression.py:72(read)
        9    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\zipfile\__init__.py:1570(open)
        1    0.000    0.000    0.166    0.166 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\rouge_score\rouge_scorer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\featstruct.py:110(FeatStruct)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\drawing\colors.py:76(SystemColor)
      344    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
       81    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:317(_deduplicate)
       34    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:3500(_flush_characters)
      129    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:440(__init__)
        1    0.000    0.000    1.109    1.109 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\bert_score\utils.py:247(get_model)
       18    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\workbook\child.py:37(_WorkbookChild)
       54    0.000    0.000    0.002    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\styles\protection.py:15(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\gettext.py:224(_expand_lang)
      114    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\utils\extract.py:78(<genexpr>)
      113    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\threading.py:1036(_set_ident)
        2    0.000    0.000    0.040    0.020 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\auto\configuration_auto.py:1013(from_pretrained)
       14    0.000    0.000    0.001    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\http\client.py:463(read)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\draw\tree.py:509(TreeWidget)
       10    0.000    0.000    0.003    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\utils\file_utils.py:225(get_authentication_headers_for_url)
      7/4    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:2996(_compile)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tag\brill_trainer.py:21(BrillTaggerTrainer)
      224    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:2875(_cumsum_dispatcher)
        1    0.000    0.000    0.011    0.011 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\worksheet\page.py:13(PrintPageSetup)
       54    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\base.py:81(__init__)
       88    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\typing.py:1565(__eq__)
       48    0.000    0.000    0.002    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\translate\bleu_score.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\draw\util.py:815(SymbolWidget)
       32    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\sessions.py:799(mount)
        9    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_defines.py:151(DEFINE_flag)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\stem\arlstem2.py:33(ARLSTem2)
       29    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\absl\flags\_helpers.py:94(get_module_object_and_name)
      112    0.000    0.000    0.000    0.000 C:\Users\User\.cache\huggingface\modules\evaluate_modules\metrics\evaluate-metric--chrf\d244bab9383988714085a8dacc4871986d9f025398581c33d6b2ee22836b4069\chrf.py:174(<genexpr>)
      219    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2777(kind)
        6    0.000    0.000    0.007    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\utils\doc.py:1191(docstring_decorator)
        1    0.000    0.000    0.070    0.070 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\tag\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\sem\drt.py:301(DRS)
       17    0.000    0.000    0.001    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\requests\utils.py:1018(get_auth_from_url)
       17    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
        1    0.000    0.000    0.001    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\corpus\reader\nombank.py:1(<module>)
